County,Year,countyFIPS,Population,Deaths,Treatment
Adams,2007,39001,28538,1,24
Allen,2007,39003,106717,3,12
Ashland,2007,39005,53544,2,33
Ashtabula,2007,39007,102156,3,48
Athens,2007,39009,64102,6,86
Auglaize,2007,39011,45977,2,20
Belmont,2007,39013,70430,0,31
Brown,2007,39015,44490,4,44
Butler,2007,39017,361192,32,198
Carroll,2007,39019,29062,0,15
Champaign,2007,39021,40127,1,22
Clark,2007,39023,139829,13,249
Clermont,2007,39025,194346,33,156
Clinton,2007,39027,42576,0,37
Columbiana,2007,39029,109153,5,89
Coshocton,2007,39031,37184,1,11
Crawford,2007,39033,44634,2,43
Cuyahoga,2007,39035,1301540,85,1796
Darke,2007,39037,52996,3,19
Defiance,2007,39039,39123,1,10
Delaware,2007,39041,161796,3,49
Erie,2007,39043,77668,1,46
Fairfield,2007,39045,142915,9,148
Fayette,2007,39047,28908,4,39
Franklin,2007,39049,1127174,85,1319
Fulton,2007,39051,42800,0,15
Gallia,2007,39053,30977,0,51
Geauga,2007,39055,93742,2,52
Greene,2007,39057,159055,4,177
Guernsey,2007,39059,40531,1,41
Hamilton,2007,39061,801815,66,555
Hancock,2007,39063,74712,0,16
Hardin,2007,39065,32132,3,26
Harrison,2007,39067,15901,0,14
Henry,2007,39069,28671,0,6
Highland,2007,39071,43845,3,21
Hocking,2007,39073,29418,5,20
Holmes,2007,39075,41826,1,8
Huron,2007,39077,60086,5,72
Jackson,2007,39079,33144,2,52
Jefferson,2007,39081,70114,1,67
Knox,2007,39083,59843,3,46
Lake,2007,39085,228930,20,115
Lawrence,2007,39087,62748,2,93
Licking,2007,39089,162375,5,77
Logan,2007,39091,46154,1,33
Lorain,2007,39093,298609,6,209
Lucas,2007,39095,445482,21,314
Madison,2007,39097,42392,2,47
Mahoning,2007,39099,243453,14,363
Marion,2007,39101,66487,4,58
Medina,2007,39103,168775,7,80
Meigs,2007,39105,23612,0,18
Mercer,2007,39107,41055,0,25
Miami,2007,39109,102130,7,59
Monroe,2007,39111,14774,0,9
Montgomery,2007,39113,540667,74,1013
Morgan,2007,39115,15175,1,17
Morrow,2007,39117,34937,1,24
Muskingum,2007,39119,85939,2,38
Noble,2007,39121,14614,0,4
Ottawa,2007,39123,41690,2,11
Paulding,2007,39125,19735,0,7
Perry,2007,39127,35582,1,13
Pickaway,2007,39129,55044,1,51
Pike,2007,39131,28645,3,60
Portage,2007,39133,159148,2,101
Preble,2007,39135,42561,3,17
Putnam,2007,39137,34752,0,10
Richland,2007,39139,126995,3,114
Ross,2007,39141,77419,10,69
Sandusky,2007,39143,61571,2,37
Scioto,2007,39145,78775,12,188
Seneca,2007,39147,57289,1,16
Shelby,2007,39149,49284,1,28
Stark,2007,39151,376877,5,266
Summit,2007,39153,544275,31,902
Trumbull,2007,39155,214296,31,184
Tuscarawas,2007,39157,92511,0,33
Union,2007,39159,49906,2,20
Van Wert,2007,39161,29182,1,11
Vinton,2007,39163,13566,2,28
Warren,2007,39165,205258,8,130
Washington,2007,39167,62253,1,36
Wayne,2007,39169,114224,0,51
Williams,2007,39171,38532,0,12
Wood,2007,39173,125285,0,31
Wyandot,2007,39175,22716,0,7
Adams,2008,39001,28686,1,27
Allen,2008,39003,106773,1,27
Ashland,2008,39005,53499,1,69
Ashtabula,2008,39007,101826,2,82
Athens,2008,39009,64546,1,101
Auglaize,2008,39011,46167,3,12
Belmont,2008,39013,70356,4,46
Brown,2008,39015,44668,3,52
Butler,2008,39017,364179,40,290
Carroll,2008,39019,28999,2,25
Champaign,2008,39021,40263,0,33
Clark,2008,39023,139404,13,319
Clermont,2008,39025,195891,32,182
Clinton,2008,39027,42656,5,55
Columbiana,2008,39029,108469,4,140
Coshocton,2008,39031,36953,2,10
Crawford,2008,39033,44291,2,68
Cuyahoga,2008,39035,1291479,111,1775
Darke,2008,39037,52909,2,14
Defiance,2008,39039,39250,0,11
Delaware,2008,39041,166652,6,54
Erie,2008,39043,77573,3,42
Fairfield,2008,39045,144029,3,206
Fayette,2008,39047,28896,1,26
Franklin,2008,39049,1141183,88,1585
Fulton,2008,39051,42780,1,41
Gallia,2008,39053,30997,2,57
Geauga,2008,39055,93583,5,56
Greene,2008,39057,160115,15,183
Guernsey,2008,39059,40347,0,53
Hamilton,2008,39061,799840,84,654
Hancock,2008,39063,74781,0,27
Hardin,2008,39065,32200,3,17
Harrison,2008,39067,15856,0,4
Henry,2008,39069,28523,0,15
Highland,2008,39071,43700,3,38
Hocking,2008,39073,29445,5,23
Holmes,2008,39075,42029,0,9
Huron,2008,39077,60121,4,73
Jackson,2008,39079,33164,3,63
Jefferson,2008,39081,69989,2,79
Knox,2008,39083,60348,4,74
Lake,2008,39085,229904,19,119
Lawrence,2008,39087,62640,6,122
Licking,2008,39089,163916,9,141
Logan,2008,39091,46115,3,60
Lorain,2008,39093,299814,10,247
Lucas,2008,39095,443909,32,391
Madison,2008,39097,43163,3,46
Mahoning,2008,39099,241572,25,428
Marion,2008,39101,66840,3,69
Medina,2008,39103,170330,10,80
Meigs,2008,39105,23534,0,32
Mercer,2008,39107,41022,0,11
Miami,2008,39109,102430,15,95
Monroe,2008,39111,14833,0,16
Montgomery,2008,39113,537664,69,1239
Morgan,2008,39115,15104,0,11
Morrow,2008,39117,34877,1,56
Muskingum,2008,39119,85874,6,32
Noble,2008,39121,14653,1,7
Ottawa,2008,39123,41554,0,11
Paulding,2008,39125,19670,0,8
Perry,2008,39127,36150,2,12
Pickaway,2008,39129,55376,2,49
Pike,2008,39131,28763,3,70
Portage,2008,39133,160184,4,110
Preble,2008,39135,42688,5,22
Putnam,2008,39137,34655,1,5
Richland,2008,39139,126128,5,89
Ross,2008,39141,77675,9,114
Sandusky,2008,39143,61184,3,30
Scioto,2008,39145,79133,12,376
Seneca,2008,39147,57199,0,30
Shelby,2008,39149,49454,4,28
Stark,2008,39151,377141,11,299
Summit,2008,39153,543116,21,919
Trumbull,2008,39155,212191,22,213
Tuscarawas,2008,39157,92634,2,36
Union,2008,39159,50856,3,41
Van Wert,2008,39161,29075,0,9
Vinton,2008,39163,13452,1,14
Warren,2008,39165,208640,12,155
Washington,2008,39167,62040,0,77
Wayne,2008,39169,114610,7,51
Williams,2008,39171,38297,3,14
Wood,2008,39173,125275,3,30
Wyandot,2008,39175,22642,0,7
Adams,2009,39001,28500,1,44
Allen,2009,39003,106518,2,43
Ashland,2009,39005,53305,4,48
Ashtabula,2009,39007,101584,4,103
Athens,2009,39009,64618,5,125
Auglaize,2009,39011,45996,1,31
Belmont,2009,39013,70439,2,62
Brown,2009,39015,44740,3,46
Butler,2009,39017,366633,53,380
Carroll,2009,39019,28917,2,22
Champaign,2009,39021,40265,1,69
Clark,2009,39023,138778,15,336
Clermont,2009,39025,196512,23,287
Clinton,2009,39027,42418,6,76
Columbiana,2009,39029,107948,0,181
Coshocton,2009,39031,36878,0,17
Crawford,2009,39033,43921,1,60
Cuyahoga,2009,39035,1285082,119,1494
Darke,2009,39037,52829,4,28
Defiance,2009,39039,39060,2,31
Delaware,2009,39041,170676,10,117
Erie,2009,39043,77085,4,48
Fairfield,2009,39045,145446,17,229
Fayette,2009,39047,28929,3,45
Franklin,2009,39049,1155408,120,1810
Fulton,2009,39051,42747,3,22
Gallia,2009,39053,30857,1,62
Geauga,2009,39055,93446,3,37
Greene,2009,39057,161075,7,240
Guernsey,2009,39059,40242,2,60
Hamilton,2009,39061,802149,72,789
Hancock,2009,39063,74964,3,47
Hardin,2009,39065,32185,3,20
Harrison,2009,39067,15860,0,17
Henry,2009,39069,28322,0,11
Highland,2009,39071,43578,5,84
Hocking,2009,39073,29358,2,50
Holmes,2009,39075,42275,0,22
Huron,2009,39077,59754,6,75
Jackson,2009,39079,33115,5,167
Jefferson,2009,39081,69833,1,72
Knox,2009,39083,60633,6,88
Lake,2009,39085,229954,18,150
Lawrence,2009,39087,62667,6,190
Licking,2009,39089,165283,7,186
Logan,2009,39091,46055,3,83
Lorain,2009,39093,300893,9,271
Lucas,2009,39095,442603,35,478
Madison,2009,39097,43353,3,66
Mahoning,2009,39099,240050,21,392
Marion,2009,39101,66497,7,101
Medina,2009,39103,171688,7,107
Meigs,2009,39105,23770,0,48
Mercer,2009,39107,40855,2,25
Miami,2009,39109,102526,8,63
Monroe,2009,39111,14742,0,12
Montgomery,2009,39113,535294,60,1412
Morgan,2009,39115,15073,0,25
Morrow,2009,39117,34907,4,48
Muskingum,2009,39119,85779,5,42
Noble,2009,39121,14649,1,5
Ottawa,2009,39123,41498,3,28
Paulding,2009,39125,19659,2,9
Perry,2009,39127,35996,1,30
Pickaway,2009,39129,55323,6,91
Pike,2009,39131,28679,4,125
Portage,2009,39133,161226,5,175
Preble,2009,39135,42424,1,27
Putnam,2009,39137,34583,0,6
Richland,2009,39139,125308,12,122
Ross,2009,39141,77862,16,148
Sandusky,2009,39143,61039,1,38
Scioto,2009,39145,79241,10,552
Seneca,2009,39147,56897,3,32
Shelby,2009,39149,49540,3,34
Stark,2009,39151,376210,7,354
Summit,2009,39153,542135,30,1068
Trumbull,2009,39155,211290,23,197
Tuscarawas,2009,39157,92584,2,52
Union,2009,39159,51798,3,77
Van Wert,2009,39161,28849,1,9
Vinton,2009,39163,13474,4,31
Warren,2009,39165,211231,17,152
Washington,2009,39167,61968,2,80
Wayne,2009,39169,114588,3,87
Williams,2009,39171,37950,2,16
Wood,2009,39173,125384,11,79
Wyandot,2009,39175,22644,2,10
Adams,2010,39001,28554,1,46
Allen,2010,39003,106359,2,45
Ashland,2010,39005,53323,4,73
Ashtabula,2010,39007,101402,4,162
Athens,2010,39009,65175,3,211
Auglaize,2010,39011,45930,2,21
Belmont,2010,39013,70341,4,81
Brown,2010,39015,44866,5,76
Butler,2010,39017,369101,44,421
Carroll,2010,39019,28847,0,29
Champaign,2010,39021,40077,7,65
Clark,2010,39023,138274,15,310
Clermont,2010,39025,197605,46,416
Clinton,2010,39027,41911,1,83
Columbiana,2010,39029,107891,2,269
Coshocton,2010,39031,36936,1,33
Crawford,2010,39033,43754,2,109
Cuyahoga,2010,39035,1278096,134,1644
Darke,2010,39037,52965,2,40
Defiance,2010,39039,39086,1,56
Delaware,2010,39041,175098,12,165
Erie,2010,39043,76985,2,56
Fairfield,2010,39045,146399,17,262
Fayette,2010,39047,29017,1,34
Franklin,2010,39049,1166261,168,2138
Fulton,2010,39051,42630,5,32
Gallia,2010,39053,31074,1,96
Geauga,2010,39055,93393,6,67
Greene,2010,39057,161593,8,292
Guernsey,2010,39059,40142,5,64
