Year,County, Code,Deaths,Population,Crude Rate
2008,Knox ,39083,546,60348,904.8
2008,Lake ,39085,2247,229904,977.4
2008,Lawrence ,39087,716,62640,1143
2008,Licking ,39089,1369,163916,835.2
2008,Logan ,39091,441,46115,956.3
2008,Lorain ,39093,2632,299814,877.9
2008,Lucas ,39095,4334,443909,976.3
2008,Madison ,39097,363,43163,841
2008,Mahoning ,39099,3082,241572,1275.8
2008,Marion ,39101,652,66840,975.5
2008,Medina ,39103,1254,170330,736.2
2008,Meigs ,39105,292,23534,1240.8
2008,Mercer ,39107,401,41022,977.5
2008,Miami ,39109,909,102430,887.4
2008,Monroe ,39111,152,14833,1024.7
2008,Montgomery ,39113,5781,537664,1075.2
2008,Morgan ,39115,161,15104,1065.9
2008,Morrow ,39117,271,34877,777
2008,Muskingum ,39119,910,85874,1059.7
2008,Noble ,39121,140,14653,955.4
2008,Ottawa ,39123,454,41554,1092.6
2008,Paulding ,39125,205,19670,1042.2
2008,Perry ,39127,323,36150,893.5
2008,Pickaway ,39129,458,55376,827.1
2008,Pike ,39131,325,28763,1129.9
2008,Portage ,39133,1254,160184,782.8
2008,Preble ,39135,407,42688,953.4
2008,Putnam ,39137,290,34655,836.8
2008,Richland ,39139,1249,126128,990.3
2008,Ross ,39141,744,77675,957.8
2008,Sandusky ,39143,666,61184,1088.5
2008,Scioto ,39145,1026,79133,1296.6
2008,Seneca ,39147,578,57199,1010.5
2008,Shelby ,39149,382,49454,772.4
2008,Stark ,39151,3999,377141,1060.3
2008,Summit ,39153,5424,543116,998.7
2008,Trumbull ,39155,2463,212191,1160.7
2008,Tuscarawas ,39157,937,92634,1011.5
2008,Union ,39159,318,50856,625.3
2008,Van Wert ,39161,317,29075,1090.3
2008,Vinton ,39163,128,13452,951.5
2008,Warren ,39165,1322,208640,633.6
2008,Washington ,39167,758,62040,1221.8
2008,Wayne ,39169,1027,114610,896.1
2008,Williams ,39171,392,38297,1023.6
2008,Wood ,39173,943,125275,752.7
2008,Wyandot ,39175,222,22642,980.5
2009,Adams ,39001,315,28500,1105.3
2009,Allen ,39003,1049,106518,984.8
2009,Ashland ,39005,537,53305,1007.4
2009,Ashtabula ,39007,1090,101584,1073
2009,Athens ,39009,462,64618,715
2009,Auglaize ,39011,471,45996,1024
2009,Belmont ,39013,865,70439,1228
2009,Brown ,39015,431,44740,963.3
2009,Butler ,39017,2973,366633,810.9
2009,Carroll ,39019,273,28917,944.1
2009,Champaign ,39021,374,40265,928.8
2009,Clark ,39023,1597,138778,1150.8
2009,Clermont ,39025,1446,196512,735.8
2009,Clinton ,39027,421,42418,992.5
2009,Columbiana ,39029,1131,107948,1047.7
2009,Coshocton ,39031,361,36878,978.9
2009,Crawford ,39033,453,43921,1031.4
2009,Cuyahoga ,39035,13202,1285082,1027.3
2009,Darke ,39037,566,52829,1071.4
2009,Defiance ,39039,382,39060,978
2009,Delaware ,39041,871,170676,510.3
2009,Erie ,39043,848,77085,1100.1
2009,Fairfield ,39045,1125,145446,773.5
2009,Fayette ,39047,293,28929,1012.8
2009,Franklin ,39049,8475,1155408,733.5
2009,Fulton ,39051,379,42747,886.6
2009,Gallia ,39053,335,30857,1085.7
2009,Geauga ,39055,691,93446,739.5
2009,Greene ,39057,1274,161075,790.9
2009,Guernsey ,39059,435,40242,1081
2009,Hamilton ,39061,7519,802149,937.4
2009,Hancock ,39063,641,74964,855.1
2009,Hardin ,39065,307,32185,953.9
2009,Harrison ,39067,203,15860,1279.9
2009,Henry ,39069,224,28322,790.9
2009,Highland ,39071,463,43578,1062.5
2009,Hocking ,39073,286,29358,974.2
2009,Holmes ,39075,297,42275,702.5
2009,Huron ,39077,524,59754,876.9
2009,Jackson ,39079,353,33115,1066
2009,Jefferson ,39081,961,69833,1376.1
2009,Knox ,39083,586,60633,966.5
2009,Lake ,39085,2256,229954,981.1
2009,Lawrence ,39087,684,62667,1091.5
2009,Licking ,39089,1406,165283,850.7
2009,Logan ,39091,486,46055,1055.3
2009,Lorain ,39093,2610,300893,867.4
2009,Lucas ,39095,4255,442603,961.4
2009,Madison ,39097,349,43353,805
2009,Mahoning ,39099,2963,240050,1234.3
2009,Marion ,39101,679,66497,1021.1
2009,Medina ,39103,1224,171688,712.9
2009,Meigs ,39105,255,23770,1072.8
2009,Mercer ,39107,370,40855,905.6
2009,Miami ,39109,916,102526,893.4
2009,Monroe ,39111,198,14742,1343.1
2009,Montgomery ,39113,5404,535294,1009.5
2009,Morgan ,39115,152,15073,1008.4
2009,Morrow ,39117,274,34907,784.9
2009,Muskingum ,39119,907,85779,1057.4
2009,Noble ,39121,122,14649,832.8
2009,Ottawa ,39123,460,41498,1108.5
2009,Paulding ,39125,186,19659,946.1
2009,Perry ,39127,351,35996,975.1
2009,Pickaway ,39129,492,55323,889.3
2009,Pike ,39131,349,28679,1216.9
2009,Portage ,39133,1269,161226,787.1
2009,Preble ,39135,415,42424,978.2
2009,Putnam ,39137,316,34583,913.7
2009,Richland ,39139,1253,125308,999.9
2009,Ross ,39141,763,77862,979.9
2009,Sandusky ,39143,597,61039,978.1
2009,Scioto ,39145,886,79241,1118.1
2009,Seneca ,39147,551,56897,968.4
2009,Shelby ,39149,397,49540,801.4
2009,Stark ,39151,3810,376210,1012.7
2009,Summit ,39153,5362,542135,989.1
2009,Trumbull ,39155,2359,211290,1116.5
2009,Tuscarawas ,39157,943,92584,1018.5
2009,Union ,39159,294,51798,567.6
2009,Van Wert ,39161,287,28849,994.8
2009,Vinton ,39163,150,13474,1113.3
2009,Warren ,39165,1428,211231,676
2009,Washington ,39167,671,61968,1082.8
2009,Wayne ,39169,1012,114588,883.2
2009,Williams ,39171,371,37950,977.6
2009,Wood ,39173,950,125384,757.7
2009,Wyandot ,39175,235,22644,1037.8
2010,Adams ,39001,321,28550,1124.3
2010,Allen ,39003,1080,106331,1015.7
2010,Ashland ,39005,533,53139,1003
2010,Ashtabula ,39007,1118,101497,1101.5
2010,Athens ,39009,515,64757,795.3
2010,Auglaize ,39011,476,45949,1035.9
2010,Belmont ,39013,951,70400,1350.9
2010,Brown ,39015,457,44846,1019
2010,Butler ,39017,2855,368130,775.5
2010,Carroll ,39019,275,28836,953.7
2010,Champaign ,39021,393,40097,980.1
2010,Clark ,39023,1615,138333,1167.5
2010,Clermont ,39025,1551,197363,785.9
2010,Clinton ,39027,403,42040,958.6
2010,Columbiana ,39029,1137,107841,1054.3
2010,Coshocton ,39031,364,36901,986.4
2010,Crawford ,39033,490,43784,1119.1
2010,Cuyahoga ,39035,13390,1280122,1046
2010,Darke ,39037,503,52959,949.8
2010,Defiance ,39039,352,39037,901.7
2010,Delaware ,39041,881,174214,505.7
2010,Erie ,39043,893,77079,1158.6
2010,Fairfield ,39045,1101,146156,753.3
2010,Fayette ,39047,335,29030,1154
2010,Franklin ,39049,8528,1163414,733
2010,Fulton ,39051,400,42698,936.8
2010,Gallia ,39053,343,30934,1108.8
2010,Geauga ,39055,746,93389,798.8
2010,Greene ,39057,1256,161573,777.4
2010,Guernsey ,39059,450,40087,1122.6
2010,Hamilton ,39061,7537,802374,939.3
2010,Hancock ,39063,677,74782,905.3
2010,Hardin ,39065,319,32058,995.1
2010,Harrison ,39067,200,15864,1260.7
2010,Henry ,39069,268,28215,949.8
2010,Highland ,39071,476,43589,1092
2010,Hocking ,39073,278,29380,946.2
2010,Holmes ,39075,295,42366,696.3
2010,Huron ,39077,548,59626,919.1
2010,Jackson ,39079,397,33225,1194.9
2010,Jefferson ,39081,920,69709,1319.8
2010,Knox ,39083,595,60921,976.7
2010,Lake ,39085,2266,230041,985
2010,Lawrence ,39087,690,62450,1104.9
2010,Licking ,39089,1444,166492,867.3
2010,Logan ,39091,475,45858,1035.8
2010,Lorain ,39093,2794,301356,927.1
2010,Lucas ,39095,4186,441815,947.5
2010,Madison ,39097,381,43435,877.2
2010,Mahoning ,39099,3054,238823,1278.8
2010,Marion ,39101,658,66501,989.5
2010,Medina ,39103,1293,172332,750.3
2010,Meigs ,39105,257,23770,1081.2
2010,Mercer ,39107,400,40814,980.1
2010,Miami ,39109,946,102506,922.9
